Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
TFC,49.6,62.9,45.96,48.86,46.07,11.8,-1.0,14.5,46.9,23.7,8522334,1.08,-10.2,47.2,4
TYL,317.3,34.0,338.99,341.98,468.84,-8.2,-29.2,-37.3,-44.2,34.3,420931,1.34,-48.1,10.5,0
TSN,65.64,64.8,62.64,63.0,56.79,7.6,14.0,29.4,12.3,22.9,2925058,0.67,0.0,31.6,4
USB,55.66,65.1,52.12,54.35,49.48,9.2,1.9,20.5,53.3,22.3,9882232,0.75,-7.3,53.5,4
UBER,70.48,41.5,72.8,73.78,86.57,-3.4,-17.5,-26.6,-2.5,32.6,19276151,0.61,-29.6,1.9,0
UDR,35.11,48.9,34.61,36.36,36.6,-2.6,-3.5,-0.7,-7.9,19.6,2936063,1.2,-17.1,5.9,1
ULTA,520.38,34.3,525.87,613.16,561.76,-16.7,-21.9,-7.3,44.0,34.8,700963,1.01,-26.4,48.9,1
UNP,250.51,59.2,242.1,250.21,231.0,2.6,10.2,9.4,17.3,20.1,3581535,0.68,-6.2,20.6,4
UAL,96.4,51.9,92.17,100.61,99.93,11.4,-17.8,-4.9,47.0,47.6,6682726,0.69,-18.0,47.6,2
UPS,101.7,53.6,97.82,106.02,94.95,3.9,-4.6,23.0,11.9,27.6,6734325,0.67,-14.1,27.0,3
URI,771.93,52.9,737.97,799.76,857.41,5.2,-17.6,-20.9,33.6,36.3,599557,0.6,-24.0,36.5,1
UNH,304.33,64.0,281.24,282.04,308.6,9.8,-10.8,-16.0,-47.8,51.5,12774480,0.41,-47.8,30.7,2
UHS,180.78,38.7,185.25,201.39,200.59,-5.1,-12.6,-10.2,3.5,33.3,774534,0.6,-25.8,17.0,1
VLO,238.82,53.2,241.46,219.37,174.59,1.3,29.7,49.2,122.1,33.5,3147267,0.92,-6.1,129.5,4
VTR,84.96,58.8,83.59,83.57,73.9,-0.8,14.2,27.1,32.0,18.4,2981769,1.12,-2.8,39.8,5
VLTO,89.5,48.3,88.53,91.89,99.98,-0.1,-12.7,-12.8,0.4,20.2,1558391,1.13,-18.1,5.4,1
VRSN,259.78,58.8,251.59,238.0,256.04,10.5,4.7,-0.2,6.4,27.5,854270,1.0,-14.3,22.8,4
VRSK,164.28,25.2,189.31,192.78,233.32,-16.8,-26.8,-31.6,-43.3,29.0,1381961,1.67,-48.5,0.0,0
VZ,46.04,29.4,48.99,48.3,42.08,-7.7,17.5,18.4,12.4,22.2,24186200,1.04,-9.0,23.8,3
VRTX,436.27,41.7,448.6,464.46,438.16,-8.8,-5.9,5.2,-9.9,36.1,1553601,0.63,-14.4,19.0,1
VRT,295.11,66.5,263.92,245.54,177.9,11.2,80.5,74.9,324.5,57.9,7457826,0.62,0.0,337.3,5
VTRS,13.47,46.3,13.43,14.27,11.32,-2.4,6.5,37.6,87.0,32.1,10466922,0.62,-15.8,90.8,3
VICI,28.11,53.7,27.54,28.34,29.52,-0.4,2.9,-6.3,-3.9,16.4,8891234,0.46,-13.2,5.6,1
V,304.36,46.6,303.44,313.6,334.47,-0.7,-12.8,-11.9,-8.0,20.8,6645215,0.78,-18.0,3.0,1
VST,154.73,48.1,155.13,159.68,179.8,-2.9,-6.9,-26.1,39.2,49.5,5017465,0.58,-28.8,46.0,0
VMC,295.48,63.5,271.89,290.33,288.86,12.0,-5.0,-2.1,22.8,25.3,1036660,0.75,-10.4,27.1,4
WRB,65.7,41.9,66.36,68.65,70.36,-4.4,-3.9,-13.8,-1.5,21.0,2277860,0.9,-14.8,1.9,0
GWW,1172.07,69.6,1086.92,1115.96,1022.17,8.3,14.0,21.5,19.0,24.6,283720,0.48,-2.5,27.9,4
WAB,267.28,65.8,248.12,249.98,215.55,11.2,19.2,37.0,56.4,23.3,948511,1.5,-1.4,60.8,4
WMT,126.77,54.8,124.0,125.22,109.65,1.4,10.9,25.1,37.8,22.1,20774976,0.67,-5.1,40.3,4
DIS,99.17,50.7,97.4,102.08,110.56,-0.3,-14.4,-10.0,18.1,25.9,10104733,0.63,-19.5,21.1,1
WBD,27.44,47.5,27.37,27.75,21.56,0.0,-5.0,55.3,244.3,49.2,46259414,0.34,-8.5,246.5,3
WM,229.45,45.5,231.33,232.21,221.55,-3.5,4.3,6.3,1.5,18.0,1876109,0.73,-6.6,17.5,2
WAT,320.0,59.9,301.3,319.39,336.55,12.9,-19.3,-3.2,-1.6,35.5,771261,1.11,-22.4,15.2,2
WEC,117.54,58.3,115.73,114.59,109.23,2.2,13.3,4.9,13.6,14.9,2123196,0.56,-1.0,17.8,5
WFC,85.4,63.0,79.39,83.52,83.83,13.5,-10.6,8.0,39.6,25.9,16049112,0.5,-11.0,39.6,3
WELL,207.59,60.9,201.87,202.3,181.86,0.7,12.0,25.0,47.9,19.9,3075206,0.79,-3.3,47.9,4
WST,256.55,57.1,247.86,245.0,254.31,11.0,-6.8,-2.5,22.2,40.0,780232,0.84,-16.4,27.5,4
WDC,343.43,66.0,298.95,283.29,166.57,31.5,71.4,187.3,902.7,62.1,8398711,0.73,0.0,902.7,5
WY,24.64,55.2,23.89,24.73,24.27,7.0,-3.4,2.7,-1.2,26.2,5375309,0.69,-8.3,17.5,3
WSM,189.13,53.0,182.12,196.17,190.97,5.5,-4.7,0.6,29.6,34.4,1331302,0.6,-14.3,39.6,2
WMB,72.74,50.2,73.2,72.02,62.21,-0.3,21.5,17.1,33.2,22.7,7159861,0.74,-3.9,33.2,4
WTW,280.14,39.6,288.11,296.28,316.18,-1.9,-14.9,-16.5,-11.9,24.6,670019,1.38,-19.5,0.4,0
WDAY,112.5,27.6,128.55,139.98,204.17,-16.1,-45.7,-52.8,-50.3,38.3,3382641,2.05,-59.0,0.0,0
WYNN,104.0,51.7,101.56,106.01,114.98,5.3,-11.5,-15.5,43.4,35.9,1860196,0.43,-21.7,43.4,1
XEL,82.38,63.2,79.82,79.66,75.48,2.7,11.8,2.9,22.2,18.7,4448510,0.79,-1.1,28.4,5
XYL,128.72,60.6,121.8,126.76,136.67,7.2,-7.5,-11.8,19.5,23.6,1465958,1.11,-15.3,20.1,2
YUM,161.76,58.1,158.1,159.57,150.2,2.1,4.5,14.4,13.7,21.1,1976778,0.74,-3.8,18.6,4
ZBRA,222.13,56.4,208.52,226.43,273.08,8.9,-14.4,-25.7,-1.5,41.2,637566,0.87,-34.9,11.5,1
ZBH,93.12,57.4,90.25,92.44,94.6,0.8,0.6,-3.9,-8.1,30.7,2011208,0.88,-12.9,8.9,2
ZTS,117.86,47.0,117.24,122.27,134.39,2.1,-6.9,-17.2,-20.0,27.5,3807071,0.63,-30.0,4.0,1
