Ticker,Kurs,RSI,SMA20,SMA50,SMA200,1M %,3M %,6M %,1Y %,Volatilität,Ø Volumen,Vol Ratio,% vom Hoch,% vom Tief,Trend Score
CB,327.91,51.2,326.87,327.25,295.94,-0.2,7.2,15.7,16.5,18.1,1756614,0.72,-4.1,23.6,4
CHD,95.42,49.0,94.67,98.38,91.41,-3.8,11.6,9.6,-7.4,22.0,2309683,0.57,-9.3,17.4,3
CIEN,496.02,68.4,414.68,351.16,205.69,47.3,115.1,203.2,743.9,62.2,2716885,0.92,0.0,757.6,5
CI,271.25,49.9,268.11,275.34,282.22,2.0,-2.2,-10.4,-16.1,32.9,1795836,0.5,-18.5,12.2,1
CINF,161.14,51.4,159.43,162.1,156.91,-1.3,-0.6,0.8,25.7,20.7,601437,1.11,-6.1,29.1,3
CTAS,174.93,41.5,177.35,189.08,196.87,-9.5,-9.2,-8.3,-14.4,19.0,1911909,1.23,-22.6,5.6,0
CSCO,82.22,58.3,79.48,79.38,72.86,6.3,11.9,18.8,46.7,25.3,21075702,0.83,-4.7,54.7,5
C,124.39,69.0,113.35,113.47,103.47,17.9,3.1,31.1,107.0,28.5,14026410,0.64,-0.4,107.0,4
CFG,64.17,65.3,59.37,61.57,54.4,12.7,6.8,25.8,91.0,27.4,4853656,0.83,-5.8,92.9,4
CLX,105.28,44.9,105.54,114.07,113.4,-3.2,0.2,-10.4,-22.5,24.2,2004062,0.85,-23.6,9.3,1
CME,295.3,43.1,303.56,301.9,273.9,-5.1,15.2,13.0,17.2,19.1,2124958,1.42,-7.4,17.8,3
CMS,79.38,64.3,77.4,75.97,72.27,3.4,14.3,10.0,13.9,16.1,2576749,0.84,-0.7,18.4,5
KO,77.47,54.8,76.28,77.2,70.64,0.5,10.6,18.4,11.6,15.8,16438429,0.67,-4.4,19.6,4
CTSH,57.92,32.7,60.86,65.37,72.06,-5.3,-31.7,-14.8,-16.0,28.7,4735880,1.1,-32.9,0.0,0
COHR,307.5,65.9,257.71,247.29,160.81,27.5,72.7,151.3,457.1,68.3,4687380,1.7,0.0,490.0,5
COIN,167.85,40.4,182.54,179.57,277.09,-13.1,-30.3,-56.6,-4.4,72.7,11407878,0.69,-60.0,19.0,1
CL,84.34,40.3,85.8,90.85,83.69,-4.1,4.1,9.8,-8.1,20.7,5978675,0.63,-14.9,13.2,2
CMCSA,27.93,39.2,28.5,29.84,28.69,-6.3,0.8,1.4,-7.7,23.5,29493011,0.62,-14.4,15.3,1
FIX,1592.84,65.3,1427.17,1367.43,961.31,15.9,57.7,91.0,358.0,52.8,445192,0.54,0.0,386.7,5
CAG,15.18,33.9,15.61,17.54,17.68,-6.1,-8.6,-14.6,-37.2,26.8,11125786,0.89,-37.7,0.1,0
COP,122.55,46.4,127.68,117.55,98.08,1.9,26.7,35.6,46.7,28.4,7836918,1.34,-8.4,48.6,4
ED,113.56,54.1,112.96,111.22,101.67,0.4,15.4,14.5,6.8,17.4,2328813,0.48,-1.6,20.8,5
STZ,166.15,68.6,152.84,154.97,149.24,12.0,13.8,17.9,-8.2,29.1,2376118,1.59,-13.3,31.0,4
CEG,286.5,46.5,292.21,294.45,327.76,-5.0,-16.2,-25.1,38.3,46.5,2929707,0.92,-28.9,49.5,0
COO,71.21,42.7,70.75,76.86,74.64,-0.4,-14.7,2.1,-8.1,33.0,2499284,0.59,-15.7,10.7,2
CPRT,32.76,37.3,33.11,36.03,41.93,-3.6,-17.8,-25.6,-45.3,25.6,7757271,0.65,-48.7,1.0,0
GLW,171.24,69.7,141.3,135.55,91.44,32.0,101.3,97.4,321.3,46.2,7656985,1.29,0.0,327.1,5
CPAY,302.83,49.4,295.64,316.93,309.6,-5.8,-8.6,4.1,-0.9,35.7,557043,0.69,-15.0,18.8,2
CTVA,83.83,60.6,81.75,78.39,71.01,5.1,22.4,34.3,42.8,23.3,4110180,0.48,-1.9,43.2,5
CSGP,36.48,25.9,41.06,45.92,69.81,-15.9,-37.6,-52.9,-52.9,38.7,4276316,1.21,-62.3,0.0,0
COST,998.47,50.2,995.42,992.67,947.43,-0.5,8.1,6.2,4.2,18.9,2286449,1.02,-5.1,17.6,5
CTRA,33.41,50.3,34.22,31.91,26.35,4.5,35.6,43.7,37.3,29.2,8564522,0.63,-8.0,52.9,4
CRH,117.89,65.6,105.52,113.54,113.04,18.2,-10.0,0.6,40.2,30.7,5275083,1.21,-10.0,43.6,4
CRWD,379.02,41.3,405.56,407.5,461.87,-14.2,-19.5,-25.6,0.3,42.5,3275410,2.73,-32.0,8.2,0
CCI,86.29,55.9,83.26,84.97,91.04,1.5,4.4,-8.5,-6.5,26.0,3173166,0.67,-21.5,12.1,2
CSX,42.24,63.5,40.28,40.6,36.25,7.7,20.4,18.0,53.1,21.7,15436459,0.58,-2.2,56.8,4
CMI,616.14,69.1,551.64,568.25,468.98,14.4,12.0,45.5,119.5,31.0,881626,0.69,0.0,128.9,4
CVS,79.33,65.2,73.85,75.88,73.95,4.3,-0.4,5.1,18.5,30.4,8157520,0.84,-5.4,37.3,4
DHR,189.61,43.7,189.75,201.38,208.96,2.0,-20.3,-6.9,1.2,28.7,3954094,0.81,-21.5,5.0,0
DRI,192.39,43.4,196.69,203.46,194.8,-2.3,-4.2,5.5,2.0,24.6,1414395,0.87,-12.2,15.4,1
DDOG,105.37,33.4,120.84,120.03,138.95,-17.1,-16.0,-35.8,14.5,53.9,5457013,1.41,-47.2,18.5,1
DVA,150.05,50.9,150.98,147.3,132.27,-2.0,34.6,18.7,-3.5,36.0,897809,0.51,-4.3,44.5,4
DECK,107.86,56.6,101.44,108.4,103.28,7.1,4.0,9.1,-1.1,50.3,3237552,0.4,-16.6,35.6,3
DE,605.0,59.0,576.45,588.41,507.74,3.6,24.3,33.5,33.5,28.2,1389856,0.91,-8.4,38.8,4
DELL,177.8,62.1,168.3,144.56,135.24,18.6,48.0,14.9,121.0,49.3,6962576,0.61,-4.1,121.0,5
DAL,67.82,55.6,65.42,66.45,61.89,17.1,-6.0,14.5,67.9,41.2,9656817,0.83,-9.7,73.9,4
DVN,47.79,50.0,49.08,45.64,37.13,4.0,34.3,40.8,73.7,32.5,9521004,1.08,-8.2,73.7,4
DXCM,64.02,43.0,64.93,68.49,71.2,-1.9,-5.0,-6.0,-3.2,41.7,4802468,0.44,-28.5,16.7,0
FANG,188.21,50.8,192.25,179.25,152.61,6.3,28.4,32.2,49.9,31.0,2275960,1.29,-6.9,52.1,4
DLR,188.87,70.8,179.79,176.39,167.12,5.4,19.9,9.4,34.0,21.9,1821326,0.72,0.0,34.0,5
DG,115.73,33.9,122.01,137.57,119.62,-14.5,-18.5,18.3,32.6,37.6,3338940,0.98,-25.6,36.0,1
DLTR,99.55,31.5,107.24,116.48,111.49,-10.9,-24.8,11.8,38.1,37.4,3797560,0.96,-29.5,38.6,1
D,64.23,64.5,61.99,62.47,59.38,2.2,12.0,8.9,27.4,18.3,5440060,0.87,-2.4,29.1,4
DPZ,365.95,44.3,371.01,385.62,417.65,-7.1,-9.2,-8.9,-19.5,24.2,697682,0.76,-25.2,5.1,0
