Date,close,vol_regime,combined_score,position_scalar,short_vol,long_vol,regime_str
2018-01-08,241.09503173828125,calm,2.45,1.0,0.0351,0.0585,bull_trend
2018-01-09,241.6407470703125,calm,2.45,1.0,0.0354,0.0582,bull_trend
2018-01-10,241.27102661132812,normal,2.3,1.0,0.0482,0.0584,bull_trend
2018-01-11,243.0314483642578,normal,2.3,1.0,0.0582,0.0597,bull_trend
2018-01-12,244.61570739746094,normal,2.3,1.0,0.0577,0.0603,bull_trend
2018-01-16,243.77947998046875,normal,2.3,1.0,0.0753,0.0611,bull_trend
2018-01-17,246.10317993164062,normal,2.3,1.0,0.0915,0.0632,bull_trend
2018-01-18,245.68955993652344,normal,2.3,1.0,0.0921,0.0635,bull_trend
2018-01-19,246.80728149414062,normal,2.3,1.0,0.0871,0.0638,bull_trend
2018-01-22,248.81414794921875,normal,2.3,1.0,0.0917,0.0651,bull_trend
2018-01-23,249.34217834472656,normal,2.3,1.0,0.072,0.0647,bull_trend
2018-01-24,249.24539184570312,normal,2.3,1.0,0.0624,0.0638,bull_trend
2018-01-25,249.3509521484375,normal,2.3,1.0,0.0548,0.0639,bull_trend
2018-01-26,252.23788452148438,normal,2.3,1.0,0.083,0.0655,bull_trend
2018-01-29,250.5657196044922,stress,2.15,1.0,0.1043,0.0677,bull_trend
2018-01-30,247.9955291748047,extreme_stress,2.55,1.0,0.1323,0.0706,bull_trend
2018-01-31,248.1187744140625,extreme_stress,2.55,1.0,0.1328,0.0698,bull_trend
2018-02-01,247.83712768554688,extreme_stress,2.55,1.0,0.1323,0.07,bull_trend
2018-02-02,242.44168090820312,extreme_stress,2.55,1.0,0.1411,0.0841,bull_trend
2018-02-05,232.30223083496094,extreme_stress,0.55,1.0,0.2772,0.1203,bull_trend
2018-02-06,236.87904357910156,extreme_stress,1.45,1.0,0.3737,0.1262,bull_trend
2018-02-07,235.59393310546875,extreme_stress,1.45,0.0,0.3666,0.1268,bear_trend
2018-02-08,226.75717163085938,extreme_stress,0.55,0.0,0.4,0.148,bear_trend
2018-02-09,230.16334533691406,extreme_stress,1.45,0.0,0.4559,0.1509,bear_trend
2018-02-12,233.5431365966797,extreme_stress,1.45,0.0,0.3771,0.1534,bear_trend
2018-02-13,234.12417602539062,extreme_stress,1.45,0.0,0.3424,0.1535,bear_trend
2018-02-14,237.28387451171875,extreme_stress,1.45,0.0,0.357,0.1556,bear_trend
2018-02-15,240.31158447265625,calm,1.9,0.0,0.0829,0.1573,bear_trend
2018-02-16,240.382080078125,calm,1.9,0.0,0.1078,0.1568,bear_trend
2018-02-20,238.87704467773438,extreme_stress,1.45,0.0,0.1344,0.1568,bear_trend
2018-02-21,237.68882751464844,extreme_stress,1.45,0.0,0.151,0.157,bear_trend
2018-02-22,237.99679565429688,normal,2.3,0.0,0.1195,0.157,bear_trend
2018-02-23,241.79039001464844,extreme_stress,2.55,0.0,0.1402,0.1595,bear_trend
2018-02-26,244.59803771972656,extreme_stress,2.55,1.0,0.1572,0.1609,bull_trend
2018-02-27,241.54391479492188,extreme_stress,2.55,1.0,0.1853,0.1632,bull_trend
