price,ev,equity,pv_cfs,pv_tv,tv_pct,fcf,growth_1,growth_2,terminal,wacc
1273.4473,2802.1373,2796.5483,673.7059,2128.4314,76.0,20.90336915124643,36.66749823880035,23.385326486062205,3.8516087428636716,9.475562969676957
700.8631,1544.7163,1539.1273,558.1674,986.5489,63.9,25.511298560652747,29.573697974327413,18.17620783344335,2.3069862925357283,10.507447580398251
1037.609,2284.2257,2278.6367,607.7343,1676.4914,73.4,24.994470085530388,29.747079028815055,17.4118840109485,3.0327936582274324,8.570652077526832
1295.0394,2849.5546,2843.9656,674.4475,2175.1071,76.3,22.406072373371995,33.39727860354186,20.514682152272538,2.705505789475343,7.97836347004286
712.343,1569.9267,1564.3377,548.9451,1020.9816,65.0,26.447868000342265,27.610331563993906,13.97867065544895,1.8401712750906734,9.056571517334751
2222.5763,4886.4678,4880.8788,1023.2603,3863.2075,79.1,26.7501874406429,39.13091792506932,24.86381124721363,3.4272418791197765,8.45851886969154
1271.386,2797.6106,2792.0216,616.7445,2180.8661,78.0,21.714815131337183,32.22542012953758,18.752515713306376,3.1305194052965217,7.768917411888254
1715.6974,3773.3388,3767.7498,957.2395,2816.0993,74.6,27.549287638008423,39.52256240461606,23.005052539668913,3.6549060084213285,9.658990600216741
1549.4794,3408.3164,3402.7274,733.4294,2674.887,78.5,24.020075534940236,33.65728319949844,20.166140348389593,3.1112701237382043,7.786515798145473
942.3734,2075.0841,2069.4951,676.2066,1398.8775,67.4,25.652215044246837,35.071354869534,24.0013009544643,4.130902808990524,12.136592724222567
2265.6426,4981.0434,4975.4544,754.0028,4227.0406,84.9,22.616440405396403,35.904906672994194,21.69697075274703,4.819558638593438,8.026560395607069
822.1933,1811.163,1805.574,536.3381,1274.8249,70.4,22.338976422568447,30.07909270719169,13.702672458767246,1.9868701885953035,7.900140598147468
2194.3167,4824.4085,4818.8195,864.4572,3959.9513,82.1,26.134819759069643,34.55971944070258,24.647923115522932,4.182982271263784,8.296290393451194
788.37,1736.8855,1731.2965,548.3061,1188.5794,68.4,22.113963527056065,34.30918980673505,17.636643417449,4.141421116734043,10.912895339461926
547.9241,1208.8554,1203.2664,448.861,759.9944,62.9,23.75955321759795,26.010570747090966,19.03474370078862,2.7800062563692665,11.210822269026119
832.4441,1833.6743,1828.0853,479.337,1354.3373,73.9,19.4456324917215,29.47539711967539,17.92415417001683,2.829843910011017,8.33253783777508
823.4116,1813.8383,1808.2493,612.7046,1201.1337,66.2,27.946092565183353,29.4140794803445,17.645108321121132,2.8299451420170825,10.223816597328648
771.6805,1700.2345,1694.6455,582.9824,1117.2521,65.7,28.286394059327407,29.261613073256587,14.58668801426994,3.3716912988035572,10.343831454930093
1828.9951,4022.1456,4016.5566,806.5515,3215.5941,79.9,22.68874862783815,38.58046013641921,22.95308747474864,4.226155154012133,8.778998193028968
2345.0428,5155.4099,5149.8209,1244.1003,3911.3096,75.9,33.45861590645602,41.62810136175041,23.854993009487522,4.156993588738035,9.909322133392372
2297.8668,5051.8092,5046.2202,865.8169,4185.9923,82.9,30.805223489399552,30.41319305520698,19.966060334524613,3.747979304290374,7.2891518870924985
1645.8234,3619.8922,3614.3032,950.2166,2669.6756,73.8,25.84230940438125,39.542119142438395,20.277895437129136,1.8464470672842257,7.95417749221385
1500.041,3299.7475,3294.1585,776.1953,2523.5522,76.5,27.030655555634972,33.279115638992465,15.536863317824224,2.5019893678942258,7.231121709436423
1844.631,4056.4828,4050.8938,904.2087,3152.2741,77.7,28.125598182132233,35.072503868722485,18.89999014362489,2.536861488117596,7.347343843386868
1753.3948,3856.1239,3850.5349,835.5948,3020.5291,78.3,25.317954271281877,36.79323482932691,19.679586962894096,3.3830715623521224,8.072098117029128
1271.0808,2796.9404,2791.3514,643.3652,2153.5752,77.0,22.51858322502017,32.04623010399,17.065933874652583,2.316749685099463,7.0809370292010305
1566.7757,3446.2999,3440.7109,949.2014,2497.0985,72.5,33.090489735647814,34.80998444049128,19.317508853882067,3.09471166132422,9.197318166605745
1795.3078,3948.1667,3942.5777,835.3644,3112.8023,78.8,24.711110049410294,35.330256371758004,22.64323490179206,2.9091780657507784,7.775392159494546
1085.7451,2389.9347,2384.3457,659.7199,1730.2148,72.4,24.603510688024883,35.160403755771405,21.597473322218878,5.0,11.195573643325869
909.251,2002.3458,1996.7568,578.0429,1424.3029,71.1,25.06784701476158,29.25272751391097,14.40085095558919,2.5755789348255753,8.316290620004256
554.8672,1224.1028,1218.5138,413.9407,810.1621,66.2,20.10570220364378,29.428159195659774,15.57667275064163,3.7959729720430504,10.747530719473367
1212.7756,2668.8996,2663.3106,829.4943,1839.4053,68.9,25.52768445864187,38.89379466791183,23.05817939238721,2.735450880586111,10.440101940928225
1345.4118,2960.1746,2954.5856,723.1758,2236.9988,75.6,27.624289072918838,29.465969929725404,17.566907956982863,2.093775510598083,7.222177194881771
2841.6978,6246.0868,6240.4978,1167.9517,5078.1351,81.3,29.108970994276824,41.32429639887507,21.19782313886242,3.6038329480201283,7.753014166349343
1061.4016,2336.4753,2330.8863,601.1908,1735.2845,74.3,23.690738659639724,30.38859914721195,16.574679019944448,2.6917878197261422,7.973633527898091
1369.4795,3013.0284,3007.4394,776.2802,2236.7482,74.2,26.595109925702953,33.11947308655591,19.36676789011094,2.282983145471255,7.993169955091398
1158.8473,2550.4706,2544.8816,794.6456,1755.825,68.8,28.454221081792184,35.66749940157216,19.133403093027923,3.013413247105767,10.068235229469149
1281.6859,2820.2297,2814.6407,580.3163,2239.9134,79.4,19.15818797528385,33.89400412369706,18.803963558942886,3.3388820993193167,7.647285978317404
661.3481,1457.9395,1452.3505,389.9395,1068.0,73.3,18.63880542255032,25.277456707405772,15.811992969935016,2.742990373345524,8.055195305533614
900.7315,1983.6365,1978.0475,619.7907,1363.8458,68.8,28.006445277855498,27.099071807091846,16.597288376163867,1.730635255441793,8.397351053861488
1086.0987,2390.7112,2385.1222,618.211,1772.5002,74.1,25.739963531921937,29.765800996546577,17.292437791484865,3.4536560820071385,8.755332329432775
2998.2855,6589.9606,6584.3716,812.1369,5777.8237,87.7,28.76207359429152,29.34102512511502,19.0534786289775,3.9351278480962164,6.3542677374105265
1518.2252,3339.6806,3334.0916,706.904,2632.7766,78.8,22.503162310644857,34.724135405823304,20.250264599433386,3.3334905942574626,7.929094057414404
1194.479,2628.7193,2623.1303,706.3337,1922.3856,73.1,25.890211980493977,32.55914416393394,22.081235791731956,3.4017526482453966,9.588534966016917
1043.9127,2298.0689,2292.4799,607.1946,1690.8743,73.6,23.979221334210724,30.859480116089532,17.74772636209283,3.0649891102588094,8.618651372226388
1817.0795,3995.9783,3990.3893,1025.2871,2970.6912,74.3,26.669170184490742,41.46569663503076,26.11410660685956,3.449640902856437,9.950614665267436
558.7078,1232.5368,1226.9478,458.1226,774.4142,62.8,23.99379564394036,24.785755472090145,13.335727977013212,0.9154920171928815,8.639733117977716
1623.2824,3570.3911,3564.8021,917.4297,2652.9614,74.3,25.62886070152947,39.68500030469133,24.00775867033381,3.306766239200508,9.555375572715516
622.6351,1372.924,1367.335,446.9258,925.9982,67.4,17.0813372954043,32.254508462133415,20.99969495869136,2.0480396241463845,9.802670983352884
1233.7308,2714.918,2709.329,675.0012,2039.9168,75.1,26.8559558162177,31.743207549352594,20.515933430855863,4.713904284991656,10.05142280864899
